#pos_x_1,pos_y_1,pos_x_2,pos_y_2,pos_ruta
#
1009,140,1035,166,1
1041,140,1067,166,3
1072,140,1098,166,5
1103,140,1129,166,6
1135,140,1161,166,8
1167,140,1193,166,9
1009,218,1035,244,11
1040,218,1067,244,12
1072,218,1098,244,13
1105,218,1131,244,14
1136,218,1161,244,15
1167,218,1193,244,16
1199,218,1225,244,18
1231,218,1257,244,19
1009,292,1035,318,21
1141,292,1067,318,23
1173,292,1099,318,24
1104,292,1130,318,25
1135,292,1161,318,26
1167,292,1193,318,27
1198,292,1226,318,28
1231,292,1257,318,29
1009,367,1035,393,31
1041,367,1067,393,32
1073,367,1099,393,34
1103,367,1129,393,35
1134.367,1160,393,37
1166,367,1192,393,39

