system   D            wsystem.c:583  maybe_parent_dir                 [   0.00263] Also searching C:\Anders\git\Respository\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00509] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00523] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.08098] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.35109] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.35129] Allegro version: 5.0.7
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [ 131.16790] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [ 131.17617] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17633] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.17643] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17653] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.17661] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17672] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.17680] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17691] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [ 131.17699] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17710] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [ 131.17719] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [ 131.17729] Score is : 737
