#posx1,posy1,posx2,posy2,posruta,typ(*),grupp,cost,0h,1h,2h,3h,4h,5h,build_cost,tax,col_r,col_g,col_b,namn
#
780,780,900,900,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,Go
705,780,775,900,1,0,0,60,2,10,30,90,160,250,50,0,89,12,56,Mediterranean Avenue
636,780,700,900,2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,Community Chest
564,780,631,900,3,0,0,60,4,20,60,180,320,450,50,0,89,12,56,Baltic Avenue
491,780,559,900,4,1,-1,0,0,0,0,0,0,0,0,200,0,0,0,Income tax
418,780,486,900,5,0,1,200,25,50,100,200,0,0,0,0,255,255,255,Reading Railroad
334,780,413,900,6,0,2,100,6,30,90,270,400,550,50,0,135,165,215,Oriental Avenue
271,780,339,900,7,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,Chance
198,780,266,900,8,0,2,100,6,30,90,270,400,550,50,0,135,165,215,Vermont Avenue
124,780,193,900,9,0,2,120,8,40,100,300,450,600,50,0,135,165,215,Connecticut Avenue
0,780,120,900,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,Jail
0,708,120,776,11,0,4,140,10,50,150,450,625,750,100,0,239,56,120,Saint Charles Place
0,637,120,705,12,0,5,150,4,10,0,0,0,0,0,0,255,255,255,Electric Company
0,563,120,632,13,0,4,140,10,50,150,450,625,750,100,0,239,56,120,States Avenue
0,490,120,558,14,0,4,140,10,50,150,450,625,750,100,0,239,56,120,Virginia Avenue
0,417,120,485,15,0,1,200,25,50,100,200,0,0,0,0,255,255,255,Pennsylvania Railroad
0,343,120,412,16,0,6,180,14,70,200,550,750,950,100,0,245,128,35,Saint James Place
0,270,120,338,17,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,Community Chest
0,197,120,265,18,0,6,180,14,70,200,550,750,950,100,0,245,128,35,Tennessee Avenue
0,123,120,192,19,0,6,200,16,80,220,600,800,1000,100,0,245,128,35,New York Avenue
0,0,120,118,20,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,Free Parking
124,0,193,118,21,0,7,220,18,90,250,700,875,1050,150,0,238,58,35,Kentucky Avenue
198,0,265,118,22,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,Chance
269,0,338,118,23,0,7,220,80,90,250,700,875,1050,150,0,238,58,35,Indiana Avenue
343,0,411,118,24,0,7,240,20,100,300,750,925,1100,150,0,238,58,35,Illinois Avenue
415,0,485,118,25,0,1,200,25,50,100,200,0,0,0,0,255,255,255,B&O Railroad
489,0,558,118,26,0,8,260,22,110,330,800,975,1150,150,0,252,231,4,Atlantic Avenue
563,0,631,118,27,0,8,260,22,110,330,800,975,1150,150,0,252,231,4,Ventnor Avenue
636,0,704,118,28,0,5,150,4,10,0,0,0,0,0,0,255,255,255,Water Works
709,0,775,118,29,0,8,280,22,120,360,850,1025,1200,150,0,252,231,4,Marvin Gardens
780,0,900,118,30,5,3,0,0,0,0,0,0,0,0,0,0,0,0,Go to jail
780,124,900,192,31,0,9,300,26,130,390,900,1100,1275,200,0,19,165,92,Pacific Avenue
780,197,900,265,32,0,9,300,26,130,390,900,1100,1275,200,0,19,165,92,North Carolina Avenue
780,270,900,338,33,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,Community Chest
780,343,900,412,34,0,9,320,28,150,450,1000,1200,1400,200,0,19,165,92,Pennsyvania Avenue
780,417,900,485,35,0,1,200,25,50,100,200,0,0,0,0,255,255,255,Short Line Railroad
780,480,900,558,36,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,Chance
780,563,900,632,37,0,10,350,35,175,500,1100,1300,1500,200,0,40,78,161,Park Place
780,637,900,703,38,1,-1,0,0,0,0,0,0,0,0,75,0,0,0,Luxary Tax
780,708,900,776,39,0,10,400,50,200,600,1400,1700,2000,200,0,40,78,161,Boardwalk
#
# * 0 = tomt, 1 = skatt, 2 = chans, 3 = allmaning, 4 = fangelse, 5 = ga_till_fangelse
